model,chemical_class,complexity,max_indent,log_lines_of_code,methods_called_count,returns_count,smarts_strings_count
o3-mini-iter6,mineral nutrient,13.057653406138906,8.0,5.288267030694535,27.0,18.0,1.0
o3-mini-iter6,wax ester,12.599442454752822,7.0,4.997212273764115,19.0,26.0,2.0
o3-mini-iter6,omega-hydroxy fatty acid,10.411249161069662,5.0,5.056245805348308,21.0,18.0,1.0
ensemble-9,omega-hydroxy fatty acid,10.411249161069662,5.0,5.056245805348308,21.0,18.0,1.0
o3-mini-iter6,3beta-hydroxy-Delta(5)-steroid,9.851499074405556,6.0,5.2574953720277815,23.0,12.0,0.0
o3-mini-iter6,long-chain fatty alcohol,9.819973285564839,7.0,5.099866427824199,20.0,13.0,1.0
ensemble-9,long-chain fatty alcohol,9.819973285564839,7.0,5.099866427824199,20.0,13.0,1.0
o3-mini-iter6,penicillin,9.368837417291719,8.0,4.844187086458591,20.0,12.0,2.0
ensemble-9,penicillin,9.368837417291719,8.0,4.844187086458591,20.0,12.0,2.0
o3-mini,tocol,9.186894786626137,5.0,4.9344739331306915,20.0,12.0,0.0
ensemble-9,tocol,9.186894786626137,5.0,4.9344739331306915,20.0,12.0,0.0
ensemble-9,oxo fatty acid,9.016280872996893,5.0,5.081404364984463,15.0,17.0,3.0
o3-mini-iter6,oxo fatty acid,9.016280872996893,5.0,5.081404364984463,15.0,17.0,3.0
o3-mini,prenols,8.97806982564435,5.0,4.890349128221754,20.0,12.0,4.0
o3-mini-iter6,fatty aldehyde,8.955824698622305,6.0,4.77912349311153,18.0,13.0,2.0
ensemble-9,fatty aldehyde,8.955824698622305,6.0,4.77912349311153,18.0,13.0,2.0
o3-mini,fatty alcohol,8.819973285564839,7.0,5.099866427824199,21.0,8.0,0.0
o3-mini,short-chain fatty acid,8.779567959990182,6.0,4.897839799950911,15.0,14.0,1.0
o3-mini,endocannabinoid,8.764056313121007,13.0,4.820281565605037,15.0,10.0,2.0
o3-mini-iter6,sesquiterpenoid,8.762436871074483,5.0,4.812184355372417,19.0,13.0,1.0
o3-mini-iter6,N-hydroxy-alpha-amino-acid,8.743699774259019,6.0,4.718498871295094,14.0,16.0,1.0
o3-mini-iter6,straight-chain saturated fatty acid,8.603455967362985,5.0,5.017279836814924,19.0,13.0,1.0
o3-mini-iter6,gas molecular entity,8.586894786626138,4.0,4.9344739331306915,17.0,16.0,1.0
o3-mini-iter6,tocol,8.579567959990182,4.0,4.897839799950911,21.0,12.0,0.0
o3-mini,flavonoids,8.578069825644352,7.0,4.890349128221754,22.0,8.0,2.0
ensemble-9,flavonoids,8.578069825644352,7.0,4.890349128221754,22.0,8.0,2.0
o3-mini-iter6,phosphatidylglycerol,8.55749834855641,5.0,4.787491742782046,16.0,13.0,2.0
o3-mini-iter6,very long-chain fatty acyl-CoA,8.536426245424844,5.0,4.68213122712422,17.0,13.0,3.0
o3-mini-iter6,alkaloid,8.532687818822414,6.0,4.663439094112067,15.0,14.0,3.0
o3-mini,lipid hydroperoxide,8.526945797645928,5.0,4.634728988229636,18.0,13.0,2.0
gemini-2.0-flash-exp,olefinic fatty acid,8.508658956454001,7.0,4.543294782270004,11.0,19.0,2.0
gemini-2.0-flash-exp,nitrohydrocarbon,8.452535975408264,5.0,4.2626798770413155,21.0,11.0,1.0
o3-mini-iter6,cannabinoid,8.38545073703144,5.0,4.927253685157205,16.0,13.0,6.0
o3-mini-iter6,saturated fatty acid,8.379567959990181,6.0,4.897839799950911,17.0,12.0,1.0
DeepSeek-R1,inositol phosphoceramide,8.368837417291719,11.0,4.844187086458591,17.0,8.0,3.0
o3-mini-iter6,endocannabinoid,8.362436871074483,12.0,4.812184355372417,14.0,9.0,4.0
ensemble-9,endocannabinoid,8.362436871074483,12.0,4.812184355372417,14.0,9.0,4.0
o3-mini,olefinic fatty acid,8.340096073158483,5.0,4.700480365792417,17.0,13.0,2.0
gemini-2.0-flash-exp,1-acyl-sn-glycero-3-phosphoethanolamine,8.326945797645928,4.0,4.634728988229636,14.0,18.0,5.0
o3-mini-iter6,leukotriene,8.321034037197618,6.0,4.605170185988092,17.0,11.0,1.0
o3-mini,polyunsaturated fatty acid,8.310775378320107,5.0,4.553876891600541,19.0,11.0,2.0
o1,ubiquinones,8.302171901303371,4.0,4.51085950651685,18.0,14.0,3.0
o3-mini-iter6,phytosterols,8.199442454752823,6.0,4.997212273764115,16.0,11.0,1.0
o3-mini,polyprenol,8.183996185165626,7.0,4.919980925828125,15.0,12.0,5.0
ensemble-9,polyprenol,8.183996185165626,7.0,4.919980925828125,15.0,12.0,5.0
o3-mini,straight-chain saturated fatty acid,8.150718038221273,5.0,4.7535901911063645,18.0,12.0,2.0
ensemble-9,saturated fatty acid,8.141906040262466,6.0,4.709530201312334,17.0,12.0,1.0
o3-mini,saturated fatty acid,8.141906040262466,6.0,4.709530201312334,17.0,12.0,1.0
o3-mini-iter6,essential fatty acid,8.138269576445829,5.0,4.6913478822291435,17.0,12.0,1.0
o3-mini-iter6,methyl-branched fatty acid,8.124994562656855,5.0,4.624972813284271,15.0,13.0,1.0
